"course_id"	"institution_code"	"course_title"	"course_dept"	"course_desc"	"course_topics"
"1"	"UICU SIS"	"LIS 561: Information Modeling"	"Information Science"	"An introduction to the foundations of information modeling methods used in current digital library applications. The specific methods considered include relational database design, conceptual modeling, markup systems, and ontologies. The basic concepts underlying these methods are, respectively, relations, entities, grammars, and logic. Implementations include relational database design, ER/EER/UML diagrams, XML markup languages, and RDF/OWL semantic web languages. First order logic is emphasized throughout as the foundational framework for information modeling in general, and for contemporary web-based information management and delivery systems (including semantic web technologies) in particular."	"ER diagrams, OWL, RDF, XML, conceptual modeling, first order logic, formal grammar, logic, markup languages, ontologies, relational databases, semantic web"
"2"	"UICU SIS"	"LIS5 42: Data, Statistical Models and Information"	"Information Science"	"An introduction to statistical and probabilistic models as they pertain to quantifying information, assessing information quality, and principled application of information to decision-making, with a focus on model selection and gauging model quality. The course reviews relevant results from probability theory, parametric and non-parametric predictive models, as well as extensions of these models for unsupervised learning. Applications of statistical and probabilistic models to tasks in information management (e.g. prediction, ranking, and data reduction) are emphasized."	"data reduction, decision making, model selection, non-parametric predictive models, parametric predictive models, predictive models, probabilistic models, statistical models, unsupervised learning"
"3"	"UMass Amherst"	"COMPSCI 589: Machine Learning"	"Computer Science"	"This course will introduce core machine learning models and algorithms for classification, regression, clustering, and dimensionality reduction. On the theory side, the course will focus on understanding models and the relationships between them. On the applied side, the course will focus on effectively using machine learning methods to solve real-world problems with an emphasis on model selection, regularization, design of experiments, and presentation and interpretation of results. The course will also explore the use of machine learning methods across different computing contexts including desktop, cluster, and cloud computing. The course will include programming assignments, a midterm exam, and a final project. Python is the required programming language for the course."	"classification, cloud computing, cluster computing, clustering, dimensionality reduction, experimental design, machine learning, model selection, presentation and interpretation of results, regression, regularization"
"4"	"UMass Amherst"	"COMPSCI 585: Introduction to Natural Language Processing"	"Computer Science"	"Natural Language Processing (NLP) is the engineering art and science of how to teach computers to understand human language.  NLP is a type of artificial intelligence technology, and it's now ubiquitous -- NLP lets us talk to our phones, use the web to answer questions, map out discussions in books and social media, and even translate between human languages.  Since language is rich, subtle, ambiguous, and very difficult for computers to understand, these systems can sometimes seem like magic -- but these are engineering problems we can tackle with data, math, machine learning, and insights from linguistics.  This course will introduce NLP methods and applications including probabilistic language models, machine translation, and parsing algorithms for syntax and the deeper meaning of text.  During the course, students will (1) learn and derive mathematical models and algorithms for NLP; (2) become familiar with basic facts about human language that motivate them, and help practitioners know what problems are possible to solve; and (3) complete a series of hands-on projects to implement, experiment with, and improve NLP models, gaining practical skills for natural language systems engineering"	"machine translation, natural language processing, natural language systems engineering, parsing algorithms, probabilistic language models, text"
"5"	"UMass Amherst"	"COMPSCI 590D: Algorithms for Data Science"	"Computer Science"	"Big Data brings us to interesting times and promises to revolutionize our society from business to government, from healthcare to academia. As we walk through this digitized age of exploded data, there is an increasing demand to develop unified toolkits for data processing and analysis. In this course our main goal is to rigorously study the mathematical foundation of big data processing, develop algorithms and learn how to analyze them. Specific Topics to be covered include: 1) Clustering 2) Estimating Statistical Properties of Data 3) Near Neighbor Search 4) Algorithms over Massive Graphs and Social Networks 5) Learning Algorithms 6) Randomized Algorithms. This course counts as a CS Elective toward the CS major. 3 credits.  "	"big data, clustering, data analysis, data processing, estimating statistical properties of data, learning algorithms, massive graphs, nearest neighbor search, randomized algorithms, social networks"
"6"	"UMass Amherst"	"COMPSCI  590S: Systems for Data Science"	"Computer Science"	"In this course, students will learn the fundamentals behind large-scale systems in the context of data science. We will cover the issues involved in scaling up (to many processors) and out (to many nodes) parallelism in order to perform fast analyses on large datasets. These include locality and data representation, concurrency, distributed databases and systems, performance analysis and understanding. We will explore the details of existing and emerging data science platforms, including map-reduce and graph analytics systems like Hadoop and Apache Spark."	"Apache Spark, Hadoop, big data, concurrency, data representation, graph analytics systems, high performance computing, large-scale systems, map-reduce platforms, performance analysis, scaling"
"7"	"UMass Amherst"	"COMPSCI 590V: Data Visualization and Exploration"	"Computer Science"	"In this course students will learn the fundamental principles of exploring and presenting complex data, both algorithmically and visually. We will cover systems infrastructure for collating large data, basic visualization of summary statistics, algorithms for exploring patterns in the data (such as rule-mining, graph analysis, clustering, topic models and dimensionality reduction), and artistic and cognition aspects of data presentation (including interactive visualization, human perception, decision-making). Domains will include numeric data, relational data, geographic data, graphs and text. Hands-on labs and projects will be performed in Python and D3."	"D3, Python, clustering, data collation, data representation, decision making, dimensionality reduction, geographic data, graph analysis, graphs, human perception, interactive visualization, numeric data, rule mining, summary statistics, text, topic models, visualization"
"8"	"UMass Amherst"	"STAT 597A: Computational Statistics"	"Computer Science"	"This course provides an introduction to statistical computing using SAS and R. The primary objective is to teach the student useful programming skills for addressing a variety of problems in statistics and probability, including carrying out Monte-Carlo simulations."	"Monte Carlo simulations, R, SAS, computational statistics, probability"
"9"	"UMass Amherst"	"STAT 597S: Intro to Probability and Math Statistics"	"Statistics"	"This course provides a calculus-based introduction to probability and statistical inference. Topics include the axioms of probability, sample spaces, counting rules, conditional probability, independence, random variables and distributions, expected value, variance, covariance and correlation, the central limit theorem, random samples and sampling distributions, basic concepts of statistical inference (point estimation, confidence intervals and hypothesis testing) and their use in one and two-sample problems."	"axioms of probability, calculus-based probability, central limit theorem, conditional probability, confidence intervals, correlation, counting rules, covariance, distributions, expected value, hypothesis testing, independence, one and two-sample problems, point estimation, random samples, random variables, sample spaces, sampling distributions, statistical inference, variance"
"10"	"UMass Amherst"	"STAT 607: Mathematical Statistics I"	"Statistics"	"This course is the first half of the STAT 607-608 sequence, which together provide the foundational theory of mathematical statistics. STAT 607 emphasizes concepts in probability, while 608 builds on those concepts to build statistical theory. STAT 607 addresses probability theory, including random variables, independence, laws of large numbers, central limit theorem, as well as perhaps briefly touch on statistical models; introduction to point estimation, confidence intervals, and hypothesis testing."	"confidence intervals, hypothesis testing, independence, laws of large numbers, point estimation, probability, random variables, statistical models"
