"code"	"institution_key"	"institution_name"	"class"	"type"	"city"	"state"	"uva_peer"
"Adelphi"	"ADELPHI UNIVERSITY"	"Adelphi University"	"R3"	"Private (Non-profit)"	"Garden City"	"NY"	NULL
"AFIT"	"AIR FORCE INSTITUTE OF TECHNOLOGY"	"Air Force Institute of Technology"	"R3"	"Public"	"Wright-Patterson AFB"	"OH"	NULL
"Albright"	"ALBRIGHT COLLEGE"	"Albright College"	"NA"	"Private (Non-profit)"	"Reading"	"PA"	NULL
"Alliant"	"ALLIANT INTERNATIONAL UNIVERSITY SAN DIEGO"	"Alliant International University-San Diego"	"R3"	"Private (Non-profit)"	"San Diego"	"CA"	NULL
"AIC"	"AMERICAN INTERNATIONAL COLLEGE"	"American International College"	"R3"	"Private (Non-profit)"	"Springfield"	"MA"	NULL
"Sentinel"	"AMERICAN SENTINEL UNIVERSITY"	"American Sentinel University"	"NA"	"Private (For-profit)"	"Denver"	"CO"	NULL
"American"	"AMERICAN UNIVERSITY"	"American University"	"R2"	"Private (Non-profit)"	"Washington"	"DC"	NULL
"Andrews"	"ANDREWS UNIVERSITY"	"Andrews University"	"R3"	"Private (Non-profit)"	"Berrien Springs"	"MI"	NULL
"App St"	"APPALACHIAN STATE UNIVERSITY"	"Appalachian State University"	NULL	NULL	NULL	NULL	NULL
"Argosy ATL"	"ARGOSY UNIVERSITY ATLANTA"	"Argosy University-Atlanta"	"R3"	"Private (For-profit)"	"Atlanta"	"GA"	NULL
"Argosy CHI"	"ARGOSY UNIVERSITY CHICAGO"	"Argosy University-Chicago"	"R3"	"Private (For-profit)"	"Chicago"	"IL"	NULL
"Argosy DEN"	"ARGOSY UNIVERSITY DENVER"	"Argosy University-Denver"	"R3"	"Private (For-profit)"	"Denver"	"CO"	NULL
"Argosy IE"	"ARGOSY UNIVERSITY INLAND EMPIRE"	"Argosy University-Inland Empire"	"R3"	"Private (For-profit)"	"Ontario"	"CA"	NULL
"Argosy OC"	"ARGOSY UNIVERSITY ORANGE COUNTY"	"Argosy University-Orange County"	"R3"	"Private (For-profit)"	"Orange"	"CA"	NULL
"Argosy PHX"	"ARGOSY UNIVERSITY PHOENIX ONLINE DIVISION"	"Argosy University-Phoenix Online Division"	"R3"	"Private (For-profit)"	"Phoenix"	"AZ"	NULL
"Argosy SAR"	"ARGOSY UNIVERSITY SARASOTA"	"Argosy University-Sarasota"	"R3"	"Private (For-profit)"	"Sarasota"	"FL"	NULL
"Argosy TAM"	"ARGOSY UNIVERSITY TAMPA"	"Argosy University-Tampa"	"R3"	"Private (For-profit)"	"Tampa"	"FL"	NULL
"ASU"	"ARIZONA STATE UNIVERSITY"	"Arizona State University"	"R1"	"Public"	"Tempe"	"AZ"	NULL
"ASU PHX"	"ARIZONA STATE UNIVERSITY DOWNTOWN PHOENIX"	"Arizona State University-Downtown Phoenix"	"R3"	"Public"	"Phoenix"	"AZ"	NULL
"ASU SKY"	"ARIZONA STATE UNIVERSITY SKYSONG"	"Arizona State University-Skysong"	"R3"	"Public"	"Scottsdale"	"AZ"	NULL
"Ashland"	"ASHLAND UNIVERSITY"	"Ashland University"	"R3"	"Private (Non-profit)"	"Ashland"	"OH"	NULL
"Aspen"	"ASPEN UNIVERSITY"	"Aspen University"	"R3"	"Private (For-profit)"	"Denver"	"CO"	NULL
"Auburn"	"AUBURN UNIVERSITY"	"Auburn University"	"R2"	"Public"	"Auburn"	"AL"	NULL
"Augusta"	"AUGUSTA UNIVERSITY"	"Augusta University"	"R2"	"Public"	"Augusta"	"GA"	NULL
"Aurora"	"AURORA UNIVERSITY"	"Aurora University"	"NA"	"Private (Non-profit)"	"Aurora"	"IL"	NULL
"Austin Peay"	"AUSTIN PEAY STATE UNIVERSITY"	"Austin Peay State University"	"NA"	"Public"	"Clarksville"	"TN"	NULL
